Age,Sex,Breed,Image
2 Years2 Months,Female,"['Terrier, Pit Bull']",dog_images/20231203174423.jpg
1 Years0 Months,Female,['Shepherd'],dog_images/20231201080829.jpg
0 Years2 Months,Female,['Mixed Breed (Medium)'],dog_images/20240115093039.jpg
2 Years2 Months,Male,['Mixed Breed (Medium)'],dog_images/20231129084914.jpg
2 Years2 Months,Male,['Mixed Breed (Medium)'],dog_images/20231115115037.jpg
2 Years9 Months,Female,"['Terrier, Pit Bull ', ' Mix']",dog_images/20240122121203.jpg
2 Years5 Months,Female,"['Cattle Dog ', ' Mixed Breed (Medium)']",dog_images/20231221081741.jpg
2 Years7 Months,Female,['Mixed Breed (Medium)'],dog_images/20231120112409.jpg
1 Years10 Months,Male,['Black Mouth Cur'],dog_images/20240108053048.jpg
4 Years2 Months,Male,"['Shepherd, Australian']",dog_images/20231120125548.jpg
0 Years7 Months,Male,"['Husky ', ' Mix']",dog_images/20240109134707.jpg
1 Years9 Months,Female,"['Retriever, Yellow Labrador ', ' Terrier, Pit Bull']",dog_images/20240104085500.jpg
0 Years2 Months,Female,"['Retriever, Labrador ', ' Mix']",dog_images/20240128071215.jpg
0 Years11 Months,Female,['Boxer'],dog_images/20231229083947.jpg
0 Years11 Months,Male,['Boxer'],dog_images/20231229083452.jpg
0 Years3 Months,Male,['Mixed Breed (Medium)'],dog_images/20240108091724.jpg
0 Years3 Months,Male,['Mixed Breed (Medium)'],dog_images/20240124081954.jpg
0 Years3 Months,Male,['Mixed Breed (Medium)'],dog_images/20240124080652.jpg
4 Years3 Months,Male,"['Shepherd, Australian ', ' Corgi, Pembroke Welsh']",dog_images/20240107190944.jpg
2 Years2 Months,Female,"['Retriever, Labrador ', ' Mix']",dog_images/20240112065604.jpg
0 Years1 Months,Male,"['Retriever, Labrador ', ' Mix']",dog_images/20240101142000.jpg
2 Years4 Months,Female,['Mixed Breed (Medium)'],dog_images/20231229204552.jpg
2 Years1 Months,Male,"['Retriever, Black Labrador']",dog_images/20231204151254.jpg
0 Years7 Months,Male,"['Retriever, Labrador ', ' Mix']",dog_images/20240101161719.jpg
0 Years4 Months,Male,"['Shepherd ', ' Mixed Breed (Medium)']",dog_images/20240119074546.jpg
0 Years7 Months,Male,"['Terrier, Pit Bull']",dog_images/20240108183413.jpg
0 Years8 Months,Male,"['American Blue Heeler ', ' Mixed Breed (Medium)']",dog_images/20231205114002.jpg
1 Years3 Months,Female,"['Hound ', ' Husky']",dog_images/20231230034857.jpg
6 Years1 Months,Female,"['Boxer ', ' Mixed Breed (Medium)']",dog_images/20240126094847.jpg
2 Years1 Months,Male,"['Bulldog, American']",dog_images/20231218095841.jpg
0 Years2 Months,Female,"['Rottweiler ', ' Hound']",dog_images/20231215141902.jpg
0 Years2 Months,Male,"['Rottweiler ', ' Hound']",dog_images/20231215141757.jpg
0 Years2 Months,Female,"['Rottweiler ', ' Hound']",dog_images/20231215140244.jpg
0 Years2 Months,Female,"['Rottweiler ', ' Hound']",dog_images/20231215140147.jpg
0 Years2 Months,Female,"['Rottweiler ', ' Hound']",dog_images/20231215140032.jpg
1 Years1 Months,Female,"['Terrier, American Pit Bull ', ' Mixed Breed (Medium)']",dog_images/20240104113333.jpg
0 Years3 Months,Male,"['Terrier, American Pit Bull ', ' Mixed Breed (Medium)']",dog_images/20240105081410.jpg
0 Years3 Months,Male,"['Terrier, American Pit Bull ', ' Mixed Breed (Medium)']",dog_images/20231229104734.jpg
0 Years3 Months,Male,"['Terrier, American Pit Bull ', ' Mixed Breed (Medium)']",dog_images/20240101144107.jpg
0 Years3 Months,Male,"['Terrier, American Pit Bull ', ' Mixed Breed (Medium)']",dog_images/20240124151837.jpg
0 Years7 Months,Female,['Pointer'],dog_images/20240103192441.jpg
1 Years1 Months,Female,"['Bulldog, French ', ' Terrier, Boston']",dog_images/20240114093912.jpg
6 Years7 Months,Male,"['Terrier ', ' Mixed Breed (Medium)']",dog_images/20231216191417.jpg
2 Years2 Months,Female,"['Shepherd ', ' Mixed Breed (Medium)']",dog_images/20231207133059.jpg
5 Years7 Months,Female,"['Collie, Border ', ' Mix']",dog_images/20230511101340.jpg
8 Years1 Months,Male,"['Terrier, Pit Bull ', ' Mix']",dog_images/20240106094327.jpg
2 Years5 Months,Male,['Mixed Breed (Medium)'],dog_images/20240117075945.jpg
2 Years5 Months,Male,"['Mixed Breed (Medium) ', ' Mix']",dog_images/20240104082500.jpg
9 Years1 Months,Female,['Chihuahua'],dog_images/20240128074417.jpg
5 Years1 Months,Female,"['Terrier, Parson Jack Russell ', ' Mixed Breed (Medium)']",dog_images/20240112154723.jpg
1 Years5 Months,Male,['Mixed Breed (Medium)'],dog_images/20240111020904.jpg
0 Years10 Months,Female,"['Shepherd, German']",dog_images/20240121154101.jpg
0 Years2 Months,Female,"['Terrier ', ' Mixed Breed (Medium)']",dog_images/20240105111727.jpg
0 Years2 Months,Female,"['Terrier ', ' Mixed Breed (Medium)']",dog_images/20240105112505.jpg
1 Years2 Months,Female,"['Catahoula Leopard Dog ', ' Mix']",dog_images/20240121071918.jpg
0 Years3 Months,Male,"['Terrier, Pit Bull']",dog_images/20240104110253.jpg
2 Years11 Months,Male,"['Shepherd ', ' Mix']",dog_images/20240121071729.jpg
3 Years8 Months,Male,"['Vizsla ', ' Mix']",dog_images/20240102130833.jpg
3 Years2 Months,Male,"['Mixed Breed (Medium) ', ' Dachshund']",dog_images/20240115151909.jpg
2 Years0 Months,Female,"['Cattle Dog, Australian (Red Heeler) ', ' Terrier, Pit Bull']",dog_images/20240122090328.jpg
0 Years2 Months,Male,"['Cattle Dog, Australian (Red Heeler) ', ' Mix']",dog_images/20240110093657.jpg
0 Years2 Months,Female,"['Cattle Dog ', ' Mix']",dog_images/20240104105917.jpg
0 Years2 Months,Female,"['Cattle Dog, Australian (Red Heeler) ', ' Mix']",dog_images/20240121153222.jpg
0 Years2 Months,Female,"['Cattle Dog ', ' Mix']",dog_images/20240104104022.jpg
0 Years2 Months,Female,"['Cattle Dog, Australian (Blue Heeler) ', ' Mix']",dog_images/20240107154551.jpg
0 Years1 Months,Male,['Mixed Breed (Medium)'],dog_images/20240119102246.jpg
0 Years1 Months,Male,['Mixed Breed (Medium)'],dog_images/20240119101506.jpg
4 Years1 Months,Male,['Mastiff'],dog_images/20231222084430.jpg
0 Years10 Months,Female,"['Shepherd ', ' Mix']",dog_images/20240121111133.jpg
6 Years1 Months,Female,"['Retriever, Labrador ', ' Mixed Breed (Medium)']",dog_images/20240111104429.jpg
1 Years0 Months,Male,['Mixed Breed (Medium)'],dog_images/20240120060256.jpg
2 Years5 Months,Female,"['Boxer ', ' Mixed Breed (Medium)']",dog_images/20240128081732.jpg
2 Years0 Months,Male,"['Shepherd, German ', ' Mix']",dog_images/20240116121212.jpg
1 Years0 Months,Female,"['Boxer ', ' Terrier, Pit Bull']",dog_images/20240109090246.jpg
2 Years3 Months,Male,"['Cattle Dog ', ' Mix']",dog_images/20240112100057.jpg
2 Years0 Months,Male,"['Retriever, Labrador ', ' Mixed Breed (Large)']",dog_images/20240113151413.jpg
1 Years0 Months,Female,"['Shepherd, German ', ' Mix']",dog_images/20240110090229.jpg
1 Years0 Months,Female,"['Retriever, Labrador ', ' Mix']",dog_images/20240109130314.jpg
0 Years3 Months,Female,"['Terrier, Pit Bull']",dog_images/20240109084814.jpg
0 Years10 Months,Female,"['Shepherd, German']",dog_images/20240121112347.jpg
0 Years5 Months,Male,"['Cattle Dog ', ' Mix']",dog_images/20240115133530.jpg
0 Years8 Months,Female,"['Retriever, Labrador ', ' Mix']",dog_images/20240117082957.jpg
0 Years2 Months,Male,['Mixed Breed (Medium)'],dog_images/20240116134301.jpg
0 Years2 Months,Female,['Shepherd'],dog_images/20240115075900.jpg
0 Years2 Months,Female,['Terrier'],dog_images/20240122115209.jpg
0 Years2 Months,Male,['Terrier'],dog_images/20240122115256.jpg
1 Years7 Months,Male,"['Retriever, Labrador ', ' Chinese Shar-Pei']",dog_images/20240111131639.jpg
0 Years2 Months,Female,"['Shepherd, German']",dog_images/20240116135430.jpg
3 Years3 Months,Female,"['Shepherd ', ' Mix']",dog_images/20231230093626.jpg
5 Years0 Months,Female,['Cattle Dog'],dog_images/20240112101503.jpg
4 Years0 Months,Female,"['Spaniel, English Springer ', ' Mix']",dog_images/20240111162416.jpg
0 Years2 Months,Female,"['Spaniel, English Springer ', ' Mix']",dog_images/20240125145648.jpg
4 Years0 Months,Female,"['Hound ', ' Bulldog, American']",dog_images/20240117074625.jpg
0 Years2 Months,Unknown,"['Corgi, Pembroke Welsh ', ' Chihuahua']",dog_images/20240110124121.jpg
0 Years2 Months,Male,"['Corgi, Pembroke Welsh ', ' Chihuahua']",dog_images/20240110124457.jpg
0 Years2 Months,Unknown,"['Corgi, Pembroke Welsh ', ' Chihuahua']",dog_images/20240124094652.jpg
0 Years2 Months,Female,"['Retriever, Labrador ', ' Mix']",dog_images/20240115085212.jpg
0 Years4 Months,Male,"['Schnauzer, Standard ', ' Mix']",dog_images/20240117073144.jpg
1 Years0 Months,Female,"['Terrier ', ' Mix']",dog_images/20240111144156.jpg
0 Years6 Months,Female,"['Terrier, Pit Bull ', ' Mix']",dog_images/20240124101741.jpg
10 Years0 Months,Male,"['Terrier, Boston']",dog_images/20240119115932.jpg
0 Years1 Months,Female,"['Retriever, Labrador ', ' Terrier, Pit Bull']",dog_images/20240118192938.jpg
0 Years5 Months,Female,"['Shepherd, Anatolian ', ' Pyrenees, Great']",dog_images/20240128082337.jpg
3 Years0 Months,Male,"['Terrier ', ' Mix']",dog_images/20240122080344.jpg
3 Years0 Months,Male,"['Shepherd, German']",dog_images/20240123090809.jpg
6 Years0 Months,Male,"['Terrier, Pit Bull']",dog_images/20240124100426.jpg
1 Years3 Months,Female,['Shepherd'],dog_images/20240128082955.jpg
0 Years3 Months,Female,"['Retriever, Labrador ', ' Mix']",dog_images/20240119115244.jpg
5 Years0 Months,Male,['Beagle'],dog_images/20240115114335.jpg
2 Years0 Months,Male,"['Shepherd, German']",dog_images/20240123090420.jpg
0 Years2 Months,Female,"['Retriever, Labrador ', ' Mix']",dog_images/20240122213326.jpg
0 Years2 Months,Female,"['Retriever, Black Labrador ', ' Mix']",dog_images/20240122131710.jpg
0 Years3 Months,Female,"['Retriever, Black Labrador ', ' Mix']",dog_images/20240123093928.jpg
0 Years5 Months,Male,"['Cattle Dog, Australian (Blue Heeler) ', ' Mix']",dog_images/20240122113420.jpg
0 Years2 Months,Male,"['Cattle Dog, Australian (Blue Heeler)']",dog_images/Default_Dog.jpg
0 Years2 Months,Female,"['Cattle Dog, Australian (Blue Heeler)']",dog_images/Default_Dog.jpg
0 Years2 Months,Female,"['Cattle Dog, Australian (Blue Heeler)']",dog_images/Default_Dog.jpg
0 Years2 Months,Female,"['Cattle Dog, Australian (Blue Heeler)']",dog_images/Default_Dog.jpg
0 Years2 Months,Female,"['Shepherd ', ' Mix']",dog_images/20240118143103.jpg
0 Years2 Months,Female,"['Shepherd ', ' Mix']",dog_images/20240118134213.jpg
0 Years2 Months,Female,"['Shepherd ', ' Mix']",dog_images/20240126100522.jpg
0 Years2 Months,Male,"['Shepherd ', ' Mix']",dog_images/20240125144229.jpg
0 Years2 Months,Male,"['Shepherd ', ' Mix']",dog_images/20240118144254.jpg
0 Years2 Months,Female,"['Shepherd ', ' Mix']",dog_images/20240118143545.jpg
0 Years2 Months,Female,"['Shepherd, German ', ' Mixed Breed (Large)']",dog_images/20240122212823.jpg
0 Years2 Months,Female,"['Shepherd, German ', ' Mixed Breed (Large)']",dog_images/20240122210343.jpg
3 Years1 Months,Male,"['Retriever, Labrador ', ' Mix']",dog_images/20231225124932.jpg
2 Years1 Months,Male,"['Shepherd ', ' Mix']",dog_images/20231228113601.jpg
4 Years0 Months,Male,"['Terrier, Pit Bull']",dog_images/20240123122143.jpg
1 Years7 Months,Female,"['Retriever, Chocolate Labrador ', ' Mix']",dog_images/20240123081444.jpg
3 Years1 Months,Female,"['Shepherd ', ' Mix']",dog_images/20240121030732.jpg
1 Years3 Months,Female,"['Shepherd ', ' Mix']",dog_images/20240108121715.jpg
3 Years2 Months,Female,"['Retriever, Labrador ', ' Mixed Breed (Large)']",dog_images/20240104164254.jpg
2 Years0 Months,Male,['Cattle Dog'],dog_images/20240110101023.jpg
2 Years2 Months,Female,"['Terrier ', ' Mix']",dog_images/20240103075839.jpg
2 Years2 Months,Female,"['Retriever, Labrador ', ' Mixed Breed (Large)']",dog_images/20231217190917.jpg
1 Years1 Months,Female,"['Retriever, Labrador ', ' Shepherd']",dog_images/20231221144815.jpg
2 Years0 Months,Female,"['Bulldog, American ', ' Mix']",dog_images/20240119075239.jpg
1 Years2 Months,Male,"['Chihuahua, Short Coat']",dog_images/20240122113028.jpg
1 Years2 Months,Male,"['Chihuahua, Long Coat']",dog_images/20240124073245.jpg
0 Years10 Months,Male,"['Boxer ', ' Mix']",dog_images/20240124102609.jpg
0 Years10 Months,Female,"['Boxer ', ' Mix']",dog_images/20231229130734.jpg
2 Years0 Months,Female,"['Shepherd ', ' Mix']",dog_images/20240126095226.jpg
1 Years1 Months,Male,"['Terrier, Pit Bull ', ' Mix']",dog_images/20240124084526.jpg
0 Years4 Months,Female,['Mixed Breed (Medium)'],dog_images/20240125121413.jpg
0 Years4 Months,Female,['Mixed Breed (Medium)'],dog_images/20240125121443.jpg
1 Years3 Months,Male,['Shepherd'],dog_images/20240124084929.jpg
0 Years8 Months,Male,"['Shepherd ', ' Mix']",dog_images/20240125144926.jpg
1 Years3 Months,Female,['Shepherd'],dog_images/20231228142341_0.jpg
